grade_map,k_ratio,direction,varied_grade,fixed_category,p_any_analytical,p_any_simulated,a_probability_analytical,a_probability_simulated,b_probability_analytical,b_probability_simulated,fixed_probability_baseline,fixed_probability_pct_change
Moderate,0.5,vary_B,HIGH,A,0.5833333333333334,0.58353,0.4166666666666667,0.416769,0.16666666666666669,0.166761,0.4166666666666667,0.0
Moderate,0.5,vary_B,VERY_HIGH,A,0.6428571428571429,0.642222,0.35714285714285715,0.357131,0.28571428571428575,0.285091,0.4166666666666667,-14.28571428571429
Moderate,1.0,vary_A,NONE,B,0.16666666666666666,0.165986,0.0,0.0,0.16666666666666666,0.165986,0.1176470588235294,41.66666666666667
Moderate,1.0,vary_A,LOW,B,0.24528301886792453,0.244581,0.09433962264150944,0.094361,0.1509433962264151,0.15022,0.1176470588235294,28.301886792452848
Moderate,1.0,vary_A,NORMAL,B,0.4117647058823529,0.411993,0.29411764705882354,0.293684,0.1176470588235294,0.118309,0.1176470588235294,0.0
Moderate,1.0,vary_A,HIGH,B,0.5454545454545454,0.54487,0.45454545454545453,0.453968,0.0909090909090909,0.090902,0.1176470588235294,-22.72727272727273
Moderate,1.0,vary_A,VERY_HIGH,B,0.6875,0.687786,0.625,0.625312,0.0625,0.062474,0.1176470588235294,-46.874999999999986
Moderate,1.0,vary_B,NONE,A,0.3333333333333333,0.333895,0.33333333333333326,0.333895,0.0,0.0,0.29411764705882354,13.333333333333307
Moderate,1.0,vary_B,LOW,A,0.3442622950819672,0.344881,0.3278688524590164,0.328508,0.01639344262295082,0.016373,0.29411764705882354,11.475409836065587
Moderate,1.0,vary_B,NORMAL,A,0.375,0.375534,0.3125,0.313048,0.0625,0.062486,0.29411764705882354,6.25
Moderate,1.0,vary_B,HIGH,A,0.4117647058823529,0.411705,0.29411764705882354,0.294216,0.1176470588235294,0.117489,0.29411764705882354,0.0
Moderate,1.0,vary_B,VERY_HIGH,A,0.47368421052631576,0.474031,0.2631578947368421,0.263352,0.21052631578947367,0.210679,0.29411764705882354,-10.526315789473696
Moderate,2.0,vary_A,NONE,B,0.09090909090909091,0.090981,0.0,0.0,0.09090909090909091,0.090981,0.07407407407407407,22.72727272727273
Moderate,2.0,vary_A,LOW,B,0.13978494623655913,0.139597,0.053763440860215055,0.05344,0.08602150537634408,0.086157,0.07407407407407407,16.129032258064523
Moderate,2.0,vary_A,NORMAL,B,0.25925925925925924,0.259408,0.18518518518518517,0.185304,0.07407407407407407,0.074104,0.07407407407407407,0.0
Moderate,2.0,vary_A,HIGH,B,0.375,0.375061,0.3125,0.312763,0.0625,0.062298,0.07407407407407407,-15.625
